topic,problem_statement,solution,correct_option
Sequence solving,"Imagine you encounter a bizarre sequence of numbers where each number depends on the one before it. The sequence begins with the number 2, and the rule to find the next number is to sum the digits of the square of the current number. The beginning of the sequence is as follows: 2, 4, 16, 7, 49, 16, 7... What is the 10th number in the sequence?",[No reasoning provided by LLM],3
Spatial reasoning,"In a room, there are 4 corner tables shaped as quarter-circles. Each table fits perfectly in each corner of the room. If you put them together, they form a full circle. One day, the tables were rearranged to form a new shape - a square with an empty space in the middle. The side of the square formed by the tables is twice the length of each side of the original square room. What is the ratio of the area of the empty space in the middle of the tables to the area of one table?",[No reasoning provided by LLM],2
Lateral thinking,Emma has been captured and she only has one chance to escape. The kidnapper tells her she can leave if she figures out the pattern and fills in the blank correctly. He gives her a piece of paper with the sequence: 'JFMAMJJASON_D'. What letter should Emma write in the blank to escape?,"This is a lateral thinking puzzle where words have double meanings. ""JFMAMJJASON_D"" appears to be a random sequence of letters, but it's actually a list of month abbreviations: January, February, March, April, May, June, July, August, September, October, November, and December. The pattern is the months of the year.

The solution is to fill in the blank with the thirteenth month, which is not recognized as a standardized month but could be considered as ""D"" (December + January).",5
Spatial reasoning,"Imagine a cube that is painted red on all its faces and is then cut into 27 identical smaller cubes. These smaller cubes are mixed up with identical cubes of the same size that have never been painted. If the ratio of painted to unpainted smaller cubes is 2:1, how many of the smaller cubes have exactly two red faces exposed?","1. A cube is cut into 27 smaller cubes.
2. The ratio of painted to unpainted cubes is 2:1, so for every 3 smaller cubes, 2 are painted and 1 is unpainted.
3. A painted cube has exactly two red faces when it is a ""corner"" cube, which means it comes from a corner of the original large cube. There are 8 corners in a cube.
4. Each corner cube is cut into 3 smaller cubes, so 8 corner cubes become 24 smaller cubes with exactly two red faces.
5. Since the problem wants the number of smaller cubes with exactly two red faces, we don't count the other smaller cubes.
6. Therefore, the number of smaller cubes with exactly two red faces is 24.",2
Operation of mechanisms,"A new clock has been designed to use a special mechanism where each of the three gears (A, B, and C) engage with each other in a linear sequence (A engages with B, B engages with C). Gear A rotates clockwise, and each gear has a different number of teeth: Gear A has 40 teeth, Gear B has 55 teeth, and Gear C has 70 teeth. If gear A makes one full rotation clockwise, how many rotations and in which direction will gear C complete?",[No reasoning provided by LLM],5
Classic riddles,You arrive at a fork in the road and find a pair of identical twin sisters standing there. One sister always tells the truth and the other always lies. You can ask just one question to either sister to figure out which road leads to the city. What question should you ask?,"Let's analyze the problem. If you ask the truth-telling sister which road leads to the city, she will tell you the correct answer. If you ask the lying sister which road leads to the city, she will tell you the wrong answer.

However, when asking ""What road would your sister say is the one to the city?"", you are essentially asking the truth-telling sister what the lying sister would say, and the lying sister what the truth-telling sister would say.

The lying sister will point to the wrong road, and the truth-telling sister will point to the road that the lying sister would have said was the wrong road. So, you can safely assume the other road leads to the city.

You don't need to ask which sister is standing in front of you, as that information is irrelevant. You only need to know which road the other sister would recommend.

This question plays on the fact that the liar's statement is already a lie, and the truth-teller's statement is the opposite of what the liar would say.",1
Lateral thinking,"Alice, Bob, and Charlie are trapped in a room with two doors. One door leads to freedom, but the other door leads to a room full of traps that is unavoidable once someone enters. There is no indication of which door is which. In the room, there is a computer that allows them to ask one yes-or-no question. The computer will answer truthfully, but it will turn off after one question. They need to figure out which door to take without risking anyone's life. What single question can they ask the computer to ensure they pick the correct door to freedom?","In this problem, the key is to use the computer's truthful response to infer the answer without directly asking which door leads to freedom. Since the computer will answer yes or no, we need to ask a question that can be answered truthfully without giving away the information. The solution lies in the question's phrasing and the computer's response.",3
Spatial reasoning,"Four friends are at corners of a large square field and want to reach the exact center of the field at the same time. Each of them starts walking at the same time with the same walking speed but each takes a different straight path. The paths are as follows: Friend A walks directly towards the center, Friend B walks diagonally to the opposite corner and then takes a 90-degree turn towards the center, Friend C walks to the midpoint of one of the edges of the square and then walks parallel to another edge to reach the center, and Friend D takes a path that first heads to the center of an adjacent edge and then directly towards the center. Assuming they all walk at a constant speed, which friend would need to walk the fastest to reach the center at the same time as the others?","Let's visualize the square field and the paths taken by each friend:

Friend A: walks directly towards the center
Friend B: walks diagonally to the opposite corner, and then towards the center
Friend C: walks to the midpoint of one edge, then parallel to another edge to the center
Friend D: heads to the center of an adjacent edge, and then directly towards the center

Since Friend A is walking directly towards the center, they will cover the shortest distance.

Friend B is walking diagonally to the opposite corner, which means they have to cover a longer distance than Friend A. However, since they are then walking towards the center, their net distance will be shorter than Friend A's.

Friend C walks to the midpoint of one edge, which means they have to cover a larger distance than Friend A and Friend B. They then walk parallel to another edge to the center, which means they have to cover another longer distance.

Friend D heads to the center of an adjacent edge, which means they have to cover a longer distance than Friend A. They then walk directly towards the center, which means they have to cover another shorter distance.

Comparing the distances covered by each friend, we can see that Friend C covers the longest distance.

Therefore, Friend C needs to walk the fastest to reach the center at the same time as the others.",3
Spatial reasoning,An ant is located at one corner of a 10 x 10 x 10 cube. It needs to crawl to the diagonally opposite corner in the shortest possible path without crossing any of the cube's faces. What is the minimum surface distance the ant must travel?,"The ant starts at one corner (0, 0, 0) and needs to reach the diagonally opposite corner (10, 10, 10).
The ant cannot cross any of the cube's faces, meaning it needs to move along the edges of the cube.
The shortest path is along the longest diagonal, which is the hypotenuse of a 10-unit right triangle.
Using the Pythagorean theorem, the ant's shortest journey would be:

√((10)² + (10)² + (10)²) = √(300) ≈ 10√3
Using the approximation of √3 ≈ 1.73, the ant's journey would be approximately:

10 × 1.73 ≈ 17.3 units

However, none of the given options matches this exact value. The closest option is:

2: 14.14 units

Since none of the other options match the ant's theoretically calculated path, the correct answer is:",2
Spatial reasoning,"A builder has a set of 5 differently shaped blocks: a cube, a sphere, a pyramid, a cylinder, and a cone. He places all of them in a row but notices that when viewed from the top, three particular shapes align perfectly such that their top surfaces form a straight line. Which three shapes are these and in what order do they appear in the row? Note that the cylinder's height is twice its diameter, the cone's height is equal to the diameter of its base, and the cube side length is equal to the diameter of the sphere.","The given constraints and relationships are:
- The cylinder's height is twice its diameter.
- The cone's height is equal to the diameter of its base.
- The cube side length is equal to the diameter of the sphere.
- Three shapes will align perfectly, their top surfaces forming a straight line when viewed from the top.

Let's analyze each option:

1. Cylinder - Sphere - Pyramid: Can't be possible, as the sphere is not aligned with the cylinder.
2. Sphere - Cube - Cylinder: The sphere and cube do not share the same axis, and the cylinder's top surface is not the same as the sphere's top surface.
3. Cylinder - Cube - Cone: The cylinder and cube do not share the same axis, and the cone's top surface is not the same as the cube's top surface.
4. Pyramid - Sphere - Cone: The pyramid's base is not the same as the sphere's top surface.

Considering the constraints and eliminating the options, the sphere and the cube both have flat top surfaces, so they can align. The cylinder can also align with them as its top surface is circular, but its circular face can also align with either the sphere or the cube.

So, the correct alignment is: Cubes, Spheres, and Cylinders. The order should be: Sphere - Cube - Cylinder.",2
Spatial reasoning,"You have a 4x4x4 cube made up of 64 smaller 1x1x1 cubes. You paint the entire outer surface of the large cube. After it dries, you take apart the cube and notice that some of the smaller cubes have 0, 1, 2, or 3 painted faces. How many of the smaller cubes have exactly 2 painted faces?",[No reasoning provided by LLM],1
Operation of mechanisms,"In a factory, there are three machines A, B, and C that are programmed to finish a task in exactly 1, 2, and 3 hours respectively. However, each machine needs a 30-minute setup time initially which doesn't count towards the task completion time. If all machines are started at the same time, how long will it take for all three machines to finish the task?",[No reasoning provided by LLM],3
Sequence solving,"In a unique sequence, each number is the sum of the 3 previous numbers. The sequence starts with 2, 2, and 4. What is the 6th number in the sequence?","1. The sequence is 2, 2, 4,?,?
2. Let's calculate the next two terms:
    * 2 + 2 + 4 = 8
    * 2 + 2 + 8 = 12
3. We see that the sequence is: 2, 2, 4, 8, 12,?
4. The next term is the sum of the previous three:
    * 12 + 2 + 8 = 22
5. Option 1 matches the answer 22.",1
Spatial reasoning,"In a cube-cutting challenge, you have a solid cube made of wood. In each move, you can make a straight cut through the cube. After the first cut, you now have two pieces. You make a second cut through both pieces, and now have four pieces. You make a third cut through all four pieces, and have some number of pieces now. Without rearranging any pieces between cuts, what is the maximum number of pieces you could have after the third cut?",[No reasoning provided by LLM],2
Logical traps,"In a special logic class, the teacher announces a surprise test will happen during the next week (Monday to Friday). However, the teacher also gives a hint: the test cannot be on Friday, since if it weren't given by Thursday, students would know for sure it was on Friday, and thus it would not be a surprise. After some thought, one clever student argues that following this logic, the test can't be on Thursday either, because come Wednesday night, without a test, Thursday would be the only remaining option, ceasing to be a surprise. Continuing this deduction, she concludes the test can't be on Wednesday... Tuesday... or even Monday! However, to the students' shock, the test was indeed given during the next week and it still was a surprise. How could this be, and when was the test given?","The student's argument is that if the test isn't given by Thursday, it would be known to be on Friday, and thus it can't be on Friday. Then, they argue that if it's not given by Wednesday, Thursday would be the only remaining option, and thus it can't be on Thursday. They continue this logic to conclude that the test can't be on Wednesday, Tuesday, or Monday. However, the teacher did give the test, and it was still a surprise. This seems to contradict the student's logic.

The key to this problem is to realize that the student's logic is incorrect. The hint that the test can't be on Friday is not saying that students would know it's on Friday if it's not given by Thursday. Instead, it's saying that if the test is given on Friday, it would not be a surprise. In other words, the surprise is not about guessing which day it would be given, but about when it would be given. The teacher can still give the test on any day, and it would still be a surprise.

The student's logic is a classic example of a logical trap, where the assumption is that the surprise is linked to the timing of the test. The test can be given on any day, and it would still be a surprise to the students.",1
Spatial reasoning,"Imagine you have a solid wooden cube that measures 3 units on each side. This cube is painted blue on all sides. After the paint dries, you slice this cube into 1-unit cubes. How many of the smaller 1-unit cubes will have exactly two sides painted blue?","1. Imagine the 3x3x3 cube, with each side painted blue. We want to identify the number of 1x1x1 cubes that have exactly two sides painted blue.
2. We can think of these 1x1x1 cubes as ""cell"" within the larger cube. A cell has 6 faces: top, bottom, left, right, front, and back.
3. For a cell to have exactly two sides painted blue, it must be on the border of the cube. This means it's on the top or bottom, left or right, or front or back of the cube.
4. The cube has 3 layers, and we can rotate the layers 90 degrees to consider each layer individually:
	* Top and bottom layers: Each has 3x3=9 cells, with 3 cells at each corner and 6 cells along each edge. Each of these cells has two sides painted blue, since they're on the top/bottom surface.
	* Middle layer: Each has 3x3=9 cells, with 3 cells at each corner and 6 cells along each edge. These cells have only one side painted blue, since they're surrounded by the other layers.
5. Add up the number of cells with exactly two sides painted blue: 9+9 = 18.",5
Optimization of actions and planning,"You are planning a small party and you have three types of beverages to choose from: juice, soda, and water. Based on your guests' preferences, you know the following: - 60% prefer juice, 20% prefer soda, and 20% prefer water. - You have a budget that allows you to buy a total of 100 drinks. - One unit of juice costs $1, soda costs $0.80, and water costs $0.50. - You want to satisfy the preferences of at least 90% of your guests. How many units of each beverage should you buy to meet the preferences and stay within the budget, assuming each guest will have one drink?",[No reasoning provided by LLM],2
Spatial reasoning,"A cube has edges of length 2 cm. If the largest possible cylinder is carved out of this cube, what will be the total surface area of the remaining part of the cube?",[No reasoning provided by LLM],1
Sequence solving,"Consider the sequence where each number indicates the position that the digit 2 appears for the first time in that number (for example, '10' is in position 1 because it contains the digit 2 for the first time as the sequence starts). What is the 5th number in this sequence?","1. The sequence is 1, 10, 20, 22, ?.
2. The first differences are 9, 2, ?.
3. The second differences are 9, ?.
4. The pattern is increasing, decreasing, so the sequence is arithmetic.
5. The next first difference will be 2 - 9 = -7.
6. The next term in the sequence is 22 - 7 = 15 (since the position of 2 in 15 is the first position where 2 appears in 15).
7. Correcting the sequence with the new term, the sequence becomes 1, 10, 20, 15, ?.
8. The sequence 1, 10, 20, 15 is not in the given options, so there might be another correct answer.
9. Re-reading the problem description, it says ""What is the 5th number in this sequence?"" which means we need to find the 5th term in the sequence.
10. The sequence is missing one term, which is the next term after 15.
11. The next term would be the number where 2 appears for the first time and its position is greater than 15.
12. The next number is 23, because it is the first number where 2 appears after the first 15 numbers.
13. The 5th number in the sequence would be the 4th number in the corrected sequence, which is 23.

There are 2 answers: the initial number and the corrected number.
There is no clear answer among the given options (1, 2, 3, 4, 5), so the correct answer is whatever is the correct 4th number in the sequence after adding the missing term.",3
Spatial reasoning,"A sculptor is creating a unique set of sculptures by stacking cubes of the same size. He wants to create a series of sculptures where each new sculpture includes all the cubes from the previous sculpture plus three new cubes. The first sculpture is a single cube. The second sculpture is the first sculpture plus three new cubes arranged so that they form an L-shape when viewed from above. If the sculptor continues this pattern, how many cubes will he require for the fifth sculpture?","The sculptor starts with a single cube.
The second sculpture has 1 cube (from the first sculpture) plus 3 cubes, which form an L-shape when viewed from above. This means the second sculpture has 4 cubes in total.
The third sculpture includes the 4 cubes from the second sculpture, plus 3 more cubes, which can also form an L-shape when viewed from above, making a total of 7 cubes.
The fourth sculpture adds the 7 cubes from the third sculpture, plus 3 more cubes, making a total of 10 cubes.
Similarly, the fifth sculpture adds the 10 cubes from the fourth sculpture, plus 3 more cubes, making a total of 13 cubes.",2
Spatial reasoning,"Imagine a cube that is formed by 27 smaller identical cubes, making it a 3x3x3 cube. If you remove the smaller cube at each of the eight corners, how many of the original 27 smaller cubes will have at least one face exposed?","1. A 3x3x3 cube has 27 smaller identical cubes.
2. Removing the smaller cube at each corner, we have 8 smaller cubes removed.
3. The removed cubes are on the surface of the cube, not inside.
4. Each removed cube exposes 3 faces, but each face is counted 2 times, once by a top/bottom and once by a side.
5. So, the total number of exposed faces is 8 × 3 = 24.
6. Each exposed face is on 2 smaller cubes (except the 6 faces on the edges that are on 3 smaller cubes each).
7. Therefore, each exposed face is counted in total 1 + 2 = 3 times for each of the 24 exposed faces, so the total number of smaller cubes with at least one face exposed is 3 × 24 ÷ 2 = 36 ÷ 2 = 18.",4
Sequence solving,"You are presented with a sequence of numbers: 3, 4, 6, 9, 13, ... What is the next number in the sequence?","1. The sequence is 3, 4, 6, 9, 13.
2. The first differences are 1, 2, 3, 4.
3. The second differences are 1, 1, 1. This is a constant, so the pattern is quadratic.
4. The next first difference will be 4 + 1 = 5.
5. The next term in the sequence is 13 + 5 = 18.
6. Option 1 matches the answer 18.",1
Optimization of actions and planning,"You are the operations manager at a factory producing widgets. You have three machines that can operate independently and simultaneously. Each machine can produce a widget in the following times: Machine A takes 1 minute per widget, Machine B takes 2 minutes per widget, and Machine C takes 3 minutes per widget. However, each machine requires a setup time when you start a production batch: Machine A requires 3 minutes, Machine B requires 4 minutes, and Machine C requires 5 minutes. Once a machine is set up, it can continue to produce widgets without any additional setup time for the rest of the operating day, which is 8 hours. What is the maximum number of widgets you can produce in an 8-hour day, and which machines should you use?",[No reasoning provided by LLM],4
Spatial reasoning,"In a mystical land, there are three temples, each on top of a hill. The paths to the temples are such that there’s always a distinct shortest path from any temple to another. One fine morning, an initiate sets off to visit all the temples to pay homage. He observes the following: 1) The path from the first temple to the second is 4 kilometers long. 2) The path from the second temple to the third is 3 kilometers long. 3) The uphill path from the first to the third temple is 5 kilometers long. After paying homage at the third temple, he descends back to the first temple, taking the shortest path. How long is his entire journey?",[No reasoning provided by LLM],1
Logical traps,"Alice, Bob, and Carol are discussing two different numbers. Alice says 'The number I am thinking of is greater than 4.' Bob says 'The number I am thinking of is not the highest.' Carol says 'The number I am thinking of is not the lowest.' All three are thinking of different numbers between 1 and 6, inclusive. If exactly one of them is telling the truth, what number is Carol thinking of?","Let's analyze the statements:

* Alice says ""The number I am thinking of is greater than 4.""
* Bob says ""The number I am thinking of is not the highest.""
* Carol says ""The number I am thinking of is not the lowest.""

From Alice's statement, we know the number is greater than 4, which means it must be either 5 or 6.

From Bob's statement, we know the number is not the highest, which means it's not 6. This implies that Bob is thinking of either 3, 4, or 5.

From Carol's statement, we know the number is not the lowest, which means it's not 1 or 2.

Since Bob's number is not 6, Bob is thinking of either 3, 4, or 5. Let's check which one of these numbers satisfies the condition that it's not the lowest.

* 3 is not the lowest, which means it could be the one Carol is thinking of.
* 4 is not the lowest, which means it could be the one Carol is thinking of.
* 5 is not the lowest, which means it could be the one Carol is thinking of.

Since all of Bob's potential numbers (3, 4, and 5) could also be the one Carol is thinking of, which is not the lowest, we conclude that Carol's number must be 3.",1
Classic riddles,"Two fathers and two sons went fishing. Each of them caught one fish, so they brought home three fishes in total. How is that possible?","The riddle is possible because there are only three people, not four. The group consists of a grandfather, his son (the father), and his grandson. This creates three distinct individuals who embody the roles of two fathers (the grandfather and his son) and two sons (the son and the grandson). Since there are three people and each caught one fish, they correctly brought home a total of three fish.",3
Optimization of actions and planning,"In an online strategy game, you're tasked with building a new base. You start with 100 resources. The following buildings can be built: Barracks cost 30 resources, grants the ability to train soldiers. Supply Depot costs 20 resources, increases your resource capacity by 40. Command Center costs 50 resources, increases resource production by 10 per minute. You also passively gain 10 resources per minute. You cannot exceed your resource capacity, which starts at 100. The goal is to have a Command Center and the ability to train soldiers as quickly as possible. What order should you build your buildings in to achieve this the fastest?","Tasks:
1. Resource gain: 10 resources/minute (passive), and 10 resources/minute from Command Center (after being built)
2. Building costs:
- Barracks: 30 resources
- Supply Depot: 20 resources, increases resource capacity by 40
- Command Center: 50 resources, increases resource production by 10/minute
3. Resource capacity is 100 initially, and each Supply Depot increase it by 40
Target: Build Command Center and have Barracks ready for soldier training

Let's evaluate the options:

1. Option 1: Command Center (50) -> Barracks (30) -> Supply Depot (20)
   - After Barracks and Supply Depot, we'll have a capacity of 140. Command Center gives another 10/minute of passive resource gain. We can now train soldiers and start to fill the resource limit.
   - This path allows us to have maximum resource gain with minimal obstruction for training units (speeds up availability of soldier training in later turns).

2. Option 2: Barracks (30) -> Command Center (50) -> Supply Depot (20)
   - This option may take more time due to limited resource availability due to early resource depletion.

3. Option 3: Supply Depot (20) -> Barracks (30) -> Command Center (50)
   - Adding the first Supply Depot increases capacity but doesn't prime the ability to collect or distribute resources.

4. Option 4: Command Center (50) -> Supply Depot (20) -> Barracks (30)
   - Without buildings for resource production and barracks for soldier training, it becomes difficult to balance timely with great resource limitation.

Comparing to the given options, we find:
Option 1 is the optimal strategy since it grants three core capabilities to core strategy systematically.",1
Spatial reasoning,"You are in a room with no windows and only one door. The room is filled with mirrors on all walls. In the middle of the room stands a statue. You have a laser pointer that can bounce off the mirrors. If you point the laser directly at any wall, the beam will reflect back at you. If you point it at a certain angle, it reflects off the walls indefinitely. Your task is to point the laser in such a way that the beam will hit all four walls and then hit the statue last. How do you position the laser beam?",[No reasoning provided by LLM],5
